tika,truth,result
text/html,text/html,OK
text/plain,text/plain,OK
image/jpeg,image/jpeg,OK
application/x-tika-msoffice,application/msword,FAIL
image/jpeg,image/jpeg,OK
text/html,application/xml,FAIL
application/pdf,application/pdf,OK
application/pdf,application/pdf,OK
application/xml,application/xml,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
text/plain,application/x-csv,FAIL
application/pdf,application/pdf,OK
text/html,text/html,OK
image/jpeg,image/jpeg,OK
application/x-tika-msoffice,application/msword,FAIL
text/plain,text/plain,OK
application/pdf,application/pdf,OK
application/pdf,application/pdf,OK
image/jpeg,image/jpeg,OK
application/pdf,application/pdf,OK
application/xml,application/xml,OK
application/pdf,application/pdf,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
text/plain,text/plain,OK
application/x-tika-msoffice,application/msword,FAIL
application/x-tika-msoffice,application/msword,FAIL
text/plain,,FAIL
text/html,text/html,OK
text/html,text/html,OK
text/plain,application/xhtml+xml,FAIL
image/jpeg,image/jpeg,OK
application/pdf,application/pdf,OK
text/plain,text/plain,OK
application/pdf,application/pdf,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
message/rfc822,message/rfc822,OK
application/x-tika-msoffice,application/msword,FAIL
application/pdf,application/pdf,OK
image/gif,image/gif,OK
text/html,text/html,OK
application/vnd.ms-excel,application/vnd.ms-excel,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
text/html,text/html,OK
application/pdf,application/pdf,OK
text/plain,text/plain,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
application/xhtml+xml,application/xhtml+xml,OK
text/plain,text/plain,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
application/pdf,application/pdf,OK
application/pdf,,"FAIL - No mimetype for 128103.pdf [application/pdf]"
image/jpeg,image/jpeg,OK
text/plain,text/plain,OK
application/xml,application/xml,OK
text/html,text/html,OK
image/gif,image/gif,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
image/jpeg,image/jpeg,OK
application/pdf,application/pdf,OK
image/jpeg,image/jpeg,OK
text/html,text/html,OK
application/x-tika-msoffice,application/msword,FAIL
application/pdf,application/pdf,OK
image/gif,image/gif,OK
application/x-tika-msoffice,application/msword,FAIL
text/plain,text/plain,OK
application/xhtml+xml,application/xhtml+xml,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
text/html,text/html,OK
text/html,text/html,OK
application/pdf,application/pdf,OK
text/html,text/html,OK
text/html,text/html,OK
application/x-tika-msoffice,application/vnd.ms-powerpoint,FAIL
image/jpeg,image/jpeg,OK
image/png,image/png,OK
application/pdf,application/pdf,OK
application/vnd.ms-excel,application/vnd.ms-excel,OK
image/gif,image/gif,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
image/gif,image/gif,OK
application/pdf,application/pdf,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
text/html,text/html,OK
text/html,text/html,OK
application/pdf,application/pdf,OK
application/x-gzip,application/x-gzip,OK
text/html,text/html,OK
text/html,text/html,OK
text/html,text/html,OK
text/plain,text/plain,OK
text/plain,text/plain,OK
text/plain,text/plain,OK
application/postscript,application/postscript,OK
image/jpeg,image/jpeg,OK
application/pdf,application/pdf,OK
application/x-tika-msoffice,application/msword,FAIL
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
text/html,text/html,OK
text/html,text/html,OK
image/gif,image/gif,OK
application/pdf,application/pdf,OK
text/html,text/html,OK
application/x-tika-msoffice,application/msword,FAIL
application/pdf,application/pdf,OK
application/pdf,application/pdf,OK
image/jpeg,image/jpeg,OK
application/pdf,application/pdf,OK
text/plain,text/plain,OK
application/x-tika-msoffice,application/vnd.ms-powerpoint,FAIL
application/pdf,application/pdf,OK
image/jpeg,image/jpeg,OK
image/jpeg,image/jpeg,OK
application/pdf,application/pdf,OK
application/pdf,application/pdf,OK
application/pdf,application/pdf,OK
image/jpeg,image/jpeg,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
text/html,application/xml,FAIL
application/xhtml+xml,application/xhtml+xml,OK
application/vnd.ms-excel,application/vnd.ms-excel,OK
application/x-tika-msoffice,application/msword,FAIL
image/jpeg,image/jpeg,OK
application/pdf,application/pdf,OK
application/xml,application/xml,OK
image/png,image/png,OK
application/pdf,application/pdf,OK
text/plain,text/plain,OK
application/vnd.ms-excel,application/vnd.ms-excel,OK
application/x-tika-msoffice,application/vnd.ms-powerpoint,FAIL
application/pdf,application/pdf,OK
image/jpeg,image/jpeg,OK
image/jpeg,image/jpeg,OK
text/html,text/html,OK
application/pdf,application/pdf,OK
text/html,text/html,OK
application/pdf,application/pdf,OK
text/plain,text/plain,OK
application/pdf,application/pdf,OK
application/pdf,application/pdf,OK
image/gif,image/gif,OK
text/plain,text/plain,OK
image/jpeg,image/jpeg,OK
application/pdf,application/pdf,OK
image/jpeg,image/jpeg,OK
application/x-tika-msoffice,application/msword,FAIL
text/html,text/html,OK
application/pdf,application/pdf,OK
image/jpeg,image/jpeg,OK
text/plain,application/xhtml+xml,FAIL
text/plain,text/plain,OK
application/x-tika-msoffice,application/vnd.ms-powerpoint,FAIL
application/pdf,application/pdf,OK
text/plain,text/plain,OK
message/rfc822,message/rfc822,OK
text/plain,text/plain,OK
application/x-tika-msoffice,application/msword,FAIL
application/pdf,application/pdf,OK
application/xml,application/xml,OK
application/pdf,application/pdf,OK
application/xhtml+xml,application/xhtml+xml,OK
text/html,text/html,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
image/jpeg,image/jpeg,OK
application/postscript,application/postscript,OK
application/xhtml+xml,application/xhtml+xml,OK
image/jpeg,image/jpeg,OK
image/jpeg,image/jpeg,OK
text/html,text/html,OK
text/plain,application/xhtml+xml,FAIL
text/html,text/html,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
application/vnd.ms-excel,application/vnd.ms-excel,OK
application/pdf,application/pdf,OK
image/gif,image/gif,OK
application/vnd.ms-excel,application/vnd.ms-excel,OK
image/jpeg,image/jpeg,OK
image/png,image/png,OK
text/html,text/html,OK
text/html,text/html,OK
text/html,text/html,OK
application/x-tika-msoffice,application/vnd.ms-powerpoint,FAIL
image/jpeg,image/jpeg,OK
application/x-tika-msoffice,application/msword,FAIL
image/jpeg,image/jpeg,OK
application/pdf,application/pdf,OK
image/jpeg,image/jpeg,OK
text/html,text/html,OK
application/x-tika-msoffice,application/msword,FAIL
text/html,text/html,OK
text/plain,text/plain,OK
application/x-tika-msoffice,application/msword,FAIL
application/pdf,application/pdf,OK
text/plain,text/plain,OK
text/plain,text/plain,OK
text/plain,text/plain,OK
application/pdf,application/pdf,OK
application/pdf,application/pdf,OK
application/pdf,application/pdf,OK
text/html,text/html,OK
application/pdf,application/pdf,OK
application/vnd.ms-excel,application/vnd.ms-excel,OK
text/html,text/html,OK
text/plain,text/plain,OK
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
application/x-tika-msoffice,application/msword,FAIL
image/jpeg,image/jpeg,OK
application/pdf,application/pdf,OK
text/plain,application/xhtml+xml,FAIL
image/jpeg,image/jpeg,OK
application/pdf,,"FAIL - No mimetype for 059502.pdf [application/pdf]"
text/html,text/html,OK
application/x-gzip,application/x-gzip,OK
application/postscript,application/postscript,OK
application/pdf,application/pdf,OK
application/pdf,application/pdf,OK
application/x-tika-msoffice,application/vnd.ms-powerpoint,FAIL
application/pdf,application/pdf,OK
application/x-tika-msoffice,application/vnd.ms-powerpoint,FAIL
application/pdf,application/pdf,OK
application/x-tika-msoffice,application/msword,FAIL
application/pdf,application/pdf,OK
application/x-tika-msoffice,application/vnd.ms-powerpoint,FAIL
image/gif,image/gif,OK
text/plain,text/plain,OK
application/pdf,application/pdf,OK
application/x-tika-msoffice,application/vnd.ms-powerpoint,FAIL
application/x-tika-msoffice,application/vnd.ms-powerpoint,FAIL
text/html,text/html,OK
application/vnd.ms-excel,application/vnd.ms-excel,OK
application/pdf,application/pdf,OK
application/pdf,application/pdf,OK
text/plain,text/plain,OK
application/pdf,application/pdf,OK
text/plain,text/plain,OK
text/plain,application/xhtml+xml,FAIL
application/x-tika-msoffice,application/vnd.ms-excel,FAIL
application/xhtml+xml,application/xhtml+xml,OK
,,
